Seller_ID,Seller_Name,Seller_Rating,Seller_City,Seller_State
SEL_501,  Reliance Retail Ltd   ,4.4,Guwahati,Assam
SEL_502,  Trends Footwear Online   ,3.5,Ahmedabad,Gujarat
SEL_503,AJIO FASHION HUB,4.8,Mumbai,Maharashtra
SEL_504,  SupercomNet Logistics   ,3.9,Patna,Bihar
SEL_505,omni retail india,3.3,Patna,Bihar
SEL_506,STYLEVERSE ENTERPRISES,3.7,Vadodara,Gujarat
SEL_507,Apparel Group Retail,3.6,Vadodara,Gujarat
SEL_508,Urban Trends Fashion,3.4,Patna,Bihar
SEL_509,Apex Garments Pvt Ltd,3.4,Bhopal,Madhya Pradesh
SEL_510,Vogue Merchants,3.3,Guwahati,Assam
SEL_511,Metro Footwear India,4.9,Kanpur,Uttar Pradesh
SEL_512,Ethnic Retailers Corp,4.3,Chennai,Tamil Nadu
SEL_513,NextGen Lifestyle,4.6,Bengaluru,Karnataka
SEL_514,prime fashion logistics,4.3,Chandigarh,Punjab
SEL_515,Glamour Attire Solutions,4,Lucknow,Uttar Pradesh
