Payment_Transaction_ID,Order_ID,Customer_ID,Payment_Method_ID,Transaction_Date,Payment_Amount,Payment_Status,Gateway_Response
TXN_900001,ORD_10001,CUST_2151,PAY_DC,28-03-2024,6879.14,success,Transaction Approved
TXN_900002,ORD_10002,CUST_2039,PAY_UPI,11-10-2024,8318.96,Success,Transaction Approved
TXN_900003,ORD_10003,CUST_2221,PAY_NB,21-02-2024,813.49,Success,
TXN_900004,ORD_10004,CUST_2098,PAY_NB,10-03-2024,1063.47,Success,Transaction Approved
TXN_900005,ORD_10005,CUST_2153,PAY_UPI,09-08-2024,2043.49,Success,transaction approved
TXN_900006,ORD_10006,CUST_2002,PAY_DC,09-02-2024,1063.47,Success,
TXN_900007,ORD_10007,CUST_2106,PAY_DC,29-02-2024,1818.6,Success,TRANSACTION APPROVED
TXN_900008,ORD_10008,CUST_2242,PAY_AJIO_WALLET,10-05-2024,1655.45,Failed,Network Timeout
TXN_900009,ORD_10008,CUST_2242,PAY_UPI,10-05-2024,1655.45,Success,
TXN_900010,ORD_10009,CUST_2196,PAY_COD,26-08-2024,724.48,  Success   ,Transaction Approved
TXN_900011,ORD_10010,CUST_2138,PAY_CC,13-02-2024,1272.36,Failed,
TXN_900012,ORD_10010,CUST_2138,PAY_NB,13-02-2024,1272.36,Success,Transaction Approved
TXN_900013,ORD_10011,CUST_2278,PAY_NB,17-07-2024,1000.52,Failed,Insufficient Funds
TXN_900014,ORD_10011,CUST_2278,PAY_CC,17-07-2024,1000.52,  Success   ,
TXN_900015,ORD_10012,CUST_2275,PAY_COD,31-08-2024,763.45,  Success   ,
TXN_900016,ORD_10013,CUST_2018,PAY_NB,13-11-2024,1630.6,Success,Transaction Approved
TXN_900017,ORD_10014,CUST_2230,PAY_CC,08-04-2024,3864.52,Success,
TXN_900018,ORD_10015,CUST_2223,PAY_AJIO_WALLET,05-12-2024,8361.91,success,
TXN_900019,ORD_10016,CUST_2035,PAY_NB,21-05-2024,552.37,Success,Transaction Approved
TXN_900020,ORD_10017,CUST_2007,PAY_NB,08-02-2024,3839.52,Success,TRANSACTION APPROVED
TXN_900021,ORD_10018,CUST_2076,  PAY_NB   ,15-10-2024,2678.66,Success,Transaction Approved
TXN_900022,ORD_10019,CUST_2275,pay_cod,09-05-2024,798.5,Success,Transaction Approved
TXN_900023,ORD_10020,CUST_2020,PAY_COD,14-12-2024,958.3,Success,Transaction Approved
TXN_900024,ORD_10021,CUST_2203,PAY_DC,16-01-2025,2136.07,Success,transaction approved
TXN_900025,ORD_10022,CUST_2191,  PAY_DC   ,09-08-2024,5503.31,Success,
TXN_900026,ORD_10023,CUST_2117,PAY_AJIO_WALLET,13-06-2024,937.22,Success,Transaction Approved
TXN_900027,ORD_10024,CUST_2046,PAY_CC,23-01-2025,4590.85,Success,Transaction Approved
TXN_900028,ORD_10025,CUST_2029,PAY_CC,16-09-2024,2174.13,Success,Transaction Approved
TXN_900029,ORD_10026,CUST_2269,PAY_UPI,04-12-2024,798.5,Success,
TXN_900030,ORD_10027,CUST_2234,pay_dc,07-07-2024,1139.24,Success,
TXN_900031,ORD_10028,CUST_2064,PAY_CC,16-08-2024,2286.24,Success,Transaction Approved
TXN_900032,ORD_10029,CUST_2243,PAY_DC,05-12-2024,1339.33,Failed,
TXN_900033,ORD_10029,CUST_2243,PAY_AJIO_WALLET,05-12-2024,1339.33,Success,Transaction Approved
TXN_900034,ORD_10030,CUST_2015,PAY_CC,19-04-2024,736.14,Success,Transaction Approved
TXN_900035,ORD_10031,CUST_2106,PAY_COD,02-03-2025,2961.91,Success,Transaction Approved
TXN_900036,ORD_10032,CUST_2068,PAY_NB,11-07-2024,1528.98,Success,
TXN_900037,ORD_10033,CUST_2141,PAY_COD,21-04-2024,1119.44,Success,Transaction Approved
TXN_900038,ORD_10034,CUST_2267,PAY_COD,18-09-2024,19917.51,Success,
TXN_900039,ORD_10035,CUST_2192,PAY_NB,16-12-2024,3899.51,Success,Transaction Approved
TXN_900040,ORD_10036,CUST_2173,PAY_DC,30-12-2024,3159.37,Success,Transaction Approved
TXN_900041,ORD_10037,CUST_2077,PAY_CC,11-03-2024,2174.13,Success,transaction approved
TXN_900042,ORD_10038,CUST_2072,PAY_AJIO_WALLET,05-12-2024,1659.17,Success,Transaction Approved
TXN_900043,ORD_10039,CUST_2019,PAY_NB,31-12-2024,1138.43,Success,Transaction Approved
TXN_900044,ORD_10040,CUST_2244,PAY_DC,28-03-2024,4858.78,Success,  Transaction Approved   
TXN_900045,ORD_10041,CUST_2093,pay_cod,01-06-2025,647.8,Success,Transaction Approved
TXN_900046,ORD_10042,CUST_2094,pay_dc,30-06-2024,1357.45,Success,Transaction Approved
TXN_900047,ORD_10043,CUST_2158,PAY_DC,30-05-2024,1791.1,Success,Transaction Approved
TXN_900048,ORD_10044,CUST_2241,PAY_AJIO_WALLET,13-11-2024,1199.2,Success,Transaction Approved
TXN_900049,ORD_10045,CUST_2100,PAY_AJIO_WALLET,30-07-2024,3043.78,Success,Transaction Approved
TXN_900050,ORD_10046,CUST_2078,PAY_DC,22-08-2024,493.11,Success,Transaction Approved
TXN_900051,ORD_10047,CUST_2093,PAY_COD,31-03-2024,867.37,Success,  Transaction Approved   
TXN_900052,ORD_10048,CUST_2003,PAY_CC,22-03-2024,1478.01,Success,Transaction Approved
TXN_900053,ORD_10049,CUST_2046,PAY_COD,08-07-2024,493.11,Success,Transaction Approved
TXN_900054,ORD_10050,CUST_2020,PAY_AJIO_WALLET,13-06-2024,4159.48,Success,Transaction Approved
TXN_900055,ORD_10051,CUST_2003,PAY_CC,25-06-2024,813.49,Success,
TXN_900056,ORD_10052,CUST_2197,PAY_DC,24-01-2024,5544.03,Success,
TXN_900057,ORD_10053,CUST_2234,PAY_NB,17-12-2024,1659.17,SUCCESS,Transaction Approved
TXN_900058,ORD_10054,CUST_2251,PAY_CC,25-07-2024,724.48,Success,Transaction Approved
TXN_900059,ORD_10055,CUST_2068,PAY_UPI,03-04-2024,4918.77,Success,Transaction Approved
TXN_900060,ORD_10056,CUST_2020,PAY_AJIO_WALLET,15-11-2024,736.14,Success,Transaction Approved
TXN_900061,ORD_10057,CUST_2025,PAY_AJIO_WALLET,29-02-2024,763.45,Success,
TXN_900062,ORD_10058,CUST_2064,PAY_COD,21-12-2024,4939.38,Success,Transaction Approved
TXN_900063,ORD_10059,CUST_2155,PAY_UPI,14-11-2024,2126.94,Success,Transaction Approved
TXN_900064,ORD_10060,CUST_2215,PAY_UPI,03-01-2024,4979.38,Success,  Transaction Approved   
TXN_900065,ORD_10061,CUST_2055,PAY_NB,24-09-2024,1758.91,Success,Transaction Approved
TXN_900066,ORD_10062,CUST_2210,PAY_UPI,16-04-2024,947.2,Success,Transaction Approved
TXN_900067,ORD_10063,CUST_2170,PAY_UPI,26-02-2024,2773.31,Success,TRANSACTION APPROVED
TXN_900068,ORD_10064,CUST_2077,PAY_NB,21-02-2024,552.37,Success,  Transaction Approved   
TXN_900069,ORD_10065,CUST_2234,PAY_COD,30-03-2024,647.8,Success,
TXN_900070,ORD_10066,CUST_2185,PAY_DC,18-02-2024,3583.55,Success,Transaction Approved
TXN_900071,ORD_10067,CUST_2071,PAY_CC,08-12-2024,763.45,Failed,Insufficient Funds
TXN_900072,ORD_10067,CUST_2071,PAY_DC,08-12-2024,763.45,Success,Transaction Approved
TXN_900073,ORD_10068,CUST_2048,PAY_DC,23-07-2024,724.48,Success,Transaction Approved
TXN_900074,ORD_10069,CUST_2198,PAY_COD,26-03-2024,1079.28,Success,Transaction Approved
TXN_900075,ORD_10070,CUST_2031,PAY_UPI,09-04-2024,1078.17,success,
TXN_900076,ORD_10071,CUST_2093,PAY_DC,16-12-2024,752.12,Success,
TXN_900077,ORD_10072,CUST_2250,PAY_COD,13-05-2024,2435.39,Success,
TXN_900078,ORD_10073,CUST_2269,PAY_NB,12-08-2024,826.45,Success,
TXN_900079,ORD_10074,CUST_2049,PAY_AJIO_WALLET,12-05-2024,1000.52,Success,Transaction Approved
TXN_900080,ORD_10075,CUST_2077,PAY_NB,25-11-2024,4979.38,success,Transaction Approved
TXN_900081,ORD_10076,CUST_2241,PAY_CC,13-06-2024,1078.17,Success,Transaction Approved
TXN_900082,ORD_10077,CUST_2143,PAY_CC,25-07-2024,1199.2,Success,
