Return_ID,Order_ID,Sales_ID,Customer_ID,Product_ID,Return_Date,Return_Reason,Refund_Amount,Refund_Status
RET_8001,ORD_10583,SALE_50583,CUST_2067,PROD_1006,08-09-2024,color/design mismatch,958.3,Processed
RET_8002,ORD_10966,SALE_50966,CUST_2140,PROD_1027,15-08-2024,Color/Design mismatch,6639.17,Processed
RET_8003,ORD_11458,SALE_51458,CUST_2186,PROD_1030,19-01-2024,Size issue - Too large,7288.18,Processed
RET_8004,ORD_10710,SALE_50710,CUST_2023,PROD_1008,04-10-2024,Size issue - Too small,2335.42,Processed
RET_8005,ORD_12132,SALE_52132,CUST_2023,PROD_1025,23-12-2024,Wrong item delivered,867.37,Pending
RET_8006,ORD_10173,SALE_50173,CUST_2235,PROD_1022,19-05-2024,CHANGED MIND / LATE DELIVERY,763.45,Processed
RET_8007,ORD_10753,SALE_50753,CUST_2197,PROD_1013,15-04-2024,quality not as expected,736.14,Processed
RET_8008,ORD_10092,SALE_50092,CUST_2281,PROD_1028,26-11-2024,Item defective/damaged,1024.26,  Processed   
RET_8009,ORD_10467,SALE_50467,CUST_2158,PROD_1005,27-01-2025,,493.11,Processed
RET_8010,ORD_10391,SALE_50391,CUST_2050,PROD_1015,28-02-2024,Color/Design mismatch,918.42,Approved
RET_8011,ORD_10646,SALE_50646,CUST_2108,PROD_1001,26-05-2024,Wrong item delivered,4815.4,Processed
RET_8012,ORD_10643,SALE_50643,CUST_2184,PROD_1013,14-07-2024,,736.14,Processed
RET_8013,ORD_11034,SALE_51034,CUST_2105,PROD_1004,03-02-2024,Size issue - Too small,2609.35,Processed
RET_8014,ORD_10284,SALE_50284,CUST_2022,PROD_1029,17-01-2025,Size issue - Too large,798.5,Rejected
RET_8015,ORD_11930,SALE_51930,CUST_2084,PROD_1007,20-02-2024,Changed mind / Late delivery,4918.77,Approved
RET_8016,ORD_11202,SALE_51202,CUST_2052,PROD_1006,14-10-2024,Quality not as expected,1454.88,Pending
RET_8017,ORD_11697,SALE_51697,CUST_2175,PROD_1004,06-11-2024,Color/Design mismatch,6610.35,Rejected
RET_8018,ORD_10251,SALE_50251,CUST_2196,PROD_1002,18-10-2024,Size issue - Too large,1199.2,Processed
RET_8019,ORD_10065,SALE_50065,CUST_2234,PROD_1010,04-07-2024,Quality not as expected,647.8,  Processed   
RET_8020,ORD_10992,SALE_50992,CUST_2237,PROD_1029,27-08-2024,Quality not as expected,798.5,Pending
RET_8021,ORD_10754,SALE_50754,CUST_2219,PROD_1009,12-07-2024,Wrong item delivered,2961.91,  Processed   
RET_8022,ORD_12154,SALE_52154,CUST_2035,PROD_1018,28-10-2024,Quality not as expected,13258.34,Processed
RET_8023,ORD_11720,SALE_51720,CUST_2141,PROD_1014,31-03-2024,Changed mind / Late delivery,2238.88,Processed
RET_8024,ORD_11188,SALE_51188,CUST_2137,PROD_1003,15-04-2024,Wrong item delivered,552.37,
RET_8025,ORD_10220,SALE_50220,CUST_2112,PROD_1004,04-02-2024,CHANGED MIND / LATE DELIVERY,2435.39,Approved
RET_8026,ORD_12162,SALE_52162,CUST_2125,PROD_1012,28-01-2025,Size issue - Too large,724.48,Processed
RET_8027,ORD_10127,SALE_50127,CUST_2157,PROD_1023,14-06-2024,Wrong item delivered,1079.28,PROCESSED
RET_8028,ORD_10318,SALE_50318,CUST_2175,PROD_1030,25-06-2024,Size issue - Too large,4858.78,
