Sales_ID,Order_ID,Order_Date,Customer_ID,Product_ID,Seller_ID,Payment_Method_ID,Coupon_ID,Status_ID,Quantity,Unit_Price,Gross_Amount,Discount_Amount,Delivery_Fee,Total_Amount
SALE_50001,ORD_10001,28-03-2024,CUST_2151,PROD_1001,SEL_506,PAY_DC,COUP_NONE,ST_DEL,1,6879.14,6879.14,0,0,6879.14
SALE_50002,ORD_10002,11-10-2024,CUST_2039,PROD_1018,SEL_515,PAY_UPI,,ST_DEL,2,5199.35,10398.7,2079.74,0,8318.96
SALE_50003,ORD_10003,21-02-2024,CUST_2221,PROD_1021,SEL_503,PAY_NB,COUP_TRENDS30,ST_DEL,1,764.49,764.49,0,49,813.49
SALE_50004,ORD_10004,10-03-2024,CUST_2098,PROD_1014,SEL_512,PAY_NB,COUP_FREESHIP,ST_RET,1,1119.44,1119.44,55.97,0,1063.47
SALE_50005,ORD_10005,09-08-2024,CUST_2153,PROD_1008,SEL_502,PAY_UPI,COUP_TRENDS30,ST_DEL,1,2919.27,2919.27,875.78,0,2043.49
SALE_50006,ORD_10006,09-02-2024,CUST_2002,PROD_1014,SEL_502,PAY_DC,COUP_FREESHIP,ST_DEL,1,1119.44,1119.44,55.97,0,1063.47
SALE_50007,ORD_10007,29-02-2024,CUST_2106,PROD_1006,SEL_511,PAY_DC,COUP_NONE,ST_DEL,2,909.3,1818.6,0,0,1818.6
SALE_50008,ORD_10008,10-05-2024,CUST_2242,PROD_1016,SEL_515,PAY_AJIO_WALLET,COUP_AJIO20,ST_DEL,1,2069.31,2069.31,413.86,,1655.45
SALE_50009,ORD_10009,26-08-2024,CUST_2196,PROD_1012,SEL_503,PAY_COD,,ST_DEL,1,675.48,675.48,0,49,724.48
SALE_50010,ORD_10010,13-02-2024,CUST_2138,PROD_1019,SEL_501,PAY_CC,COUP_FREESHIP,ST_SHP,1,1339.33,1339.33,66.97,0,1272.36
SALE_50011,ORD_10011,17-07-2024,CUST_2278,PROD_1014,SEL_513,PAY_NB,COUP_FIRST100,ST_DEL,1,1119.44,1119.44,,49,1000.52
SALE_50012,ORD_10012,31-08-2024,CUST_2275,PROD_1022,SEL_514,PAY_COD,COUP_FESTIVE25,ST_RET,1,714.45,714.45,0,49,763.45
SALE_50013,ORD_10013,13-11-2024,CUST_2018,PROD_1017,SEL_510,PAY_NB,COUP_FESTIVE25,ST_SHP,1,2174.13,2174.13,543.53,0,1630.6
